Latitude	Long 	YSIFNU
38.08928333	-122.0685731	24.92427799
38.08928333	-122.0685688	24.61949499
38.08928428	-122.0685619	24.6421537
38.0892869	-122.0685564	25.0170776
38.08928928	-122.0685531	21.30424284
38.08929095	-122.0685498	22.66162895
38.08929167	-122.0685474	24.02364416
38.08929356	-122.0685448	26.48720209
38.08929595	-122.0685424	25.45657682
38.08929667	-122.0685417	25.08017294
38.08929761	-122.0685407	24.95009246
38.08929833	-122.0685391	25.31286569
38.08929928	-122.0685355	26.19789596
38.08930095	-122.0685314	25.73331218
38.08930261	-122.0685291	25.65637951
38.08930523	-122.0685264	25.89531369
38.08930761	-122.0685241	26.81190422
38.08930833	-122.0685233	35.36033207
38.08930928	-122.0685233	25.27919797
38.08931189	-122.0685205	22.63900922
38.08931523	-122.0685174	22.87229843
38.08931856	-122.0685157	24.38734703
38.08932189	-122.0685122	24.82762502
38.08932428	-122.0685081	24.81208025
38.08932595	-122.0685057	24.94754344
38.08932856	-122.0685031	24.92499532
38.08933189	-122.0685007	24.9495386
38.08933522	-122.0684981	24.62
38.08933856	-122.0684948	24.63048134
38.08934189	-122.0684933	24.71515999
38.08934428	-122.0684914	24.44198519
38.08934689	-122.0684891	24.2407968
38.08935022	-122.0684874	24.04164677
38.08935261	-122.0684838	23.96941733
38.08935522	-122.0684798	24.04757939
38.08935761	-122.0684764	23.91255749
38.08935928	-122.0684731	23.73231092
38.08936094	-122.0684717	23.56701103
38.08936356	-122.0684698	23.54
38.08936689	-122.0684664	23.53590552
38.08936928	-122.0684641	23.50103732
38.08937189	-122.0684614	23.49843995
38.08937428	-122.0684591	23.39361233
38.08937783	-122.0684583	23.33676537
38.08938094	-122.0684574	23.32637861
38.08938261	-122.0684567	23.43457108
38.08938522	-122.0684548	23.25126484
38.08938855	-122.0684505	23.38374719
38.08939094	-122.0684464	23.1011465
38.08939261	-122.0684441	23.09723785
38.08939711	-122.0684405	22.98708828
38.08940189	-122.0684383	22.8520003
38.08940616	-122.0684364	22.54357607
38.08941116	-122.068435	22.34514086
38.0894171	-122.0684331	22.36404885
38.08942094	-122.0684298	22.72764254
38.08942449	-122.0684274	22.59511356
38.08942761	-122.0684257	22.73445747
38.08943022	-122.0684231	22.45920622
38.08943261	-122.0684217	22.21498988
38.08943522	-122.0684198	21.99703463
38.08943761	-122.0684174	22.08617042
38.08944022	-122.0684138	21.93668782
38.08944261	-122.0684098	21.94757214
38.08944427	-122.0684083	21.7795809
38.08944688	-122.0684074	22.02035081
38.08944927	-122.0684057	21.98088231
38.08945094	-122.0684031	22.06782747
38.08945073	-122.0684017	21.75180259
38.08945188	-122.0684017	21.32834769
38.08945427	-122.0683998	20.90868047
38.08945782	-122.0683965	20.93079116
38.08946	-122.0683931	20.73199325
38.08946188	-122.0683907	20.57595095
38.08946521	-122.0683891	20.59498665
38.08946761	-122.0683865	20.49333464
38.08947115	-122.0683841	20.39541411
38.08947521	-122.0683824	20.36228836
38.08947855	-122.0683817	20.31533223
38.08948282	-122.0683798	20.28058226
38.08948782	-122.0683774	20.24899864
38.08949376	-122.0683748	20.35159692
38.08949761	-122.0683715	20.39382293
38.08949927	-122.0683691	20.60573269
38.08950094	-122.0683674	20.79655164
38.08950261	-122.0683657	20.78540928
38.08950427	-122.0683641	20.59663454
38.089505	-122.0683624	20.79007282
38.08950688	-122.0683617	20.82476749
38.08950927	-122.0683598	20.76364879
38.08951094	-122.0683583	20.83687919
38.08951354	-122.0683565	20.85093267
38.08951594	-122.0683531	20.74078199
38.08951854	-122.0683507	20.64823931
38.08952094	-122.0683481	20.64532316
38.08952354	-122.0683467	20.66284766
38.08952688	-122.0683457	20.62639667
38.08953021	-122.068345	20.56461802
38.0895326	-122.0683441	20.33256685
38.08953521	-122.0683433	20.16946336
38.08953854	-122.0683424	19.41644297
38.08954094	-122.0683417	17.04024022
38.08954542	-122.0683435	17.64058267
38.08955208	-122.068345	18.27349348
38.08955687	-122.0683431	21.78055144
38.08956208	-122.0683389	24.12284182
38.08956968	-122.0683385	22.48254812
38.08957614	-122.0683391	21.28802629
38.08958021	-122.0683374	21.02665267
38.08958354	-122.0683367	21.33802095
38.08958687	-122.0683367	21.41768092
38.08959114	-122.0683348	21.70780329
38.08959427	-122.0683343	21.46606013
38.08959687	-122.0683341	21.49203364
38.08960114	-122.0683333	21.50614202
38.08960521	-122.0683315	21.51351251
38.0896076	-122.0683309	21.39813416
38.0896102	-122.0683326	21.227147
38.08961354	-122.0683333	21.32579614
38.08961594	-122.0683324	21.24018764
38.08961854	-122.0683279	20.98638767
38.08962094	-122.0683231	21.02071461
38.08962354	-122.0683226	21.0707826
38.08962594	-122.0683224	21.07744674
38.08962854	-122.0683207	21.01677917
38.08963093	-122.0683181	21.17824727
38.0896326	-122.0683185	21.05211109
38.0896352	-122.06832	21.09440308
38.08963854	-122.0683191	20.95209276
38.08964187	-122.0683174	20.85847056
38.08964614	-122.0683139	20.7318744
38.0896502	-122.0683098	19.96338672
38.08965447	-122.0683055	19.56949156
38.08965947	-122.0683005	24.71915799
38.08966447	-122.0682974	19.48232029
38.08966947	-122.0682957	19.99411966
38.08967447	-122.0682922	21.65704276
38.0896776	-122.0682909	21.73194601
38.0896802	-122.0682926	21.84537775
38.0896854	-122.0682924	21.5744609
38.0896902	-122.0682898	21.2892174
38.08969447	-122.0682883	21.34275268
38.08969853	-122.0682893	21.27626953
38.0897028	-122.0682891	21.11801239
38.0897078	-122.0682874	21.01314851
38.08971187	-122.0682857	20.86294455
38.0897152	-122.068285	20.69038254
38.08971853	-122.0682841	20.4675381
38.08972	-122.0682833	20.35004542
38.08972186	-122.0682833	20.3471743
38.08972427	-122.0682833	20.18907237
38.089725	-122.0682824	19.96661006
38.08972407	-122.0682817	19.78611512
38.08972427	-122.0682817	19.18372151
38.089725	-122.0682817	18.12820527
38.08972593	-122.0682807	20.15385718
38.0897276	-122.06828	23.50754887
38.08973113	-122.06828	21.40837105
38.08973706	-122.0682819	19.69349539
38.08974186	-122.0682843	19.37
38.08974706	-122.0682841	19.50643662
38.08975186	-122.0682833	19.89344413
38.08975613	-122.0682843	19.90837982
38.08976019	-122.0682859	19.82012268
38.08976353	-122.0682867	19.69905273
38.08976686	-122.0682867	19.61194732
38.08977112	-122.0682867	19.66724289
38.08977519	-122.0682848	19.71541421
38.08977853	-122.0682824	19.85721559
38.08978186	-122.0682798	18.45099713
38.08978519	-122.0682755	17.46204641
38.08978946	-122.0682715	22.78385557
38.08979446	-122.0682691	19.50749499
38.08979853	-122.0682665	20.02128307
38.08980372	-122.068265	20.16974659
38.08980946	-122.068265	19.89512283
38.08981353	-122.0682641	19.78812419
38.08981779	-122.0682633	20.07884434
38.08982279	-122.0682633	20.41638586
38.08982779	-122.0682615	20.71749308
38.08983186	-122.0682609	20.9360135
38.08983333	-122.0682617	21.01668802
38.08983519	-122.0682617	20.89
38.0898376	-122.0682617	20.86608743
38.08983926	-122.0682617	20.84303047
38.08984186	-122.0682626	20.92603273
38.08984333	-122.0682633	20.90969935
38.08984333	-122.0682643	20.78217042
38.08984426	-122.0682641	20.61636904
38.08984686	-122.0682643	20.50007755
38.08984833	-122.068265	20.42542328
38.08984926	-122.0682641	20.45070524
38.08985	-122.0682615	20.33664149
